H		0.46	0.32	0
D		0.46	1.86	3
He		1.22	1.28	0
Li		1.57	1.26	1
Be		1.12	1.66	1
B		0.81	0.96	0
C		0.77	1.21	3
N		0.74	1.47	3
O		0.74	1.24	0
F		0.72	0.85	0
Ne		1.60	1.96	0
Na		1.91	1.02	1
Mg		1.60	1.51	1
Al		1.43	1.14	1
Si		1.18	0.75	0
P		1.10	1.71	3
S		1.04	1.36	3
Cl		0.99	1.63	0
Ar		1.92	0.99	0
K		2.35	1.66	1
Ca		1.97	1.11	1
Sc		1.64	1.22	1
Ti		1.47	2.32	1
V		1.35	1.12	1
Cr		1.29	1.67	1
Mn		1.37	1.65	1
Fe		1.26	1.68	1
Co		1.25	0.64	1
Ni		1.25	1.16	1
Cu		1.28	2.23	1
Zn		1.37	1.24	1
Ga		1.53	1.69	1
Ge		1.22	1.21	1
As		1.21	0.46	0
Se		1.04	1.52	0
Br		1.14	1.33	0
Kr		1.98	1.66	0
Rb		2.50	1.33	1
Sr		2.15	1.42	1
Y		1.82	1.22	1
Zr		1.60	1.96	1
Nb		1.47	1.17	1
Mo		1.40	1.8	1
Tc		1.35	1.33	1
Ru		1.34	1.62	1
Rh		1.34	1.39	1
Pd		1.37	1.19	1
Ag		1.44	1.38	1
Cd		1.52	0.71	1
In		1.67	1.55	1
Sn		1.58	1.47	1
Sb		1.41	1.74	1
Te		1.37	0.67	0
I		1.33	1.1	0
Xe		2.18	1.71	0
Cs		2.72	0.63	1
Ba		2.24	1.29	1
La		1.88	1.11	1
Ce		1.82	1.69	1
Pr		1.82	1.44	1
Nd		1.82	1.2	1
Pm		1.81	1.73	1
Sm		1.81	1.45	1
Eu		2.06	1.76	1
Gd		1.79	1.23	1
Tb		1.77	1.72	1
Dy		1.77	2.01	1
Ho		1.76	2.1	1
Er		1.75	1.31	1
Tm		1.00	1.25	1
Yb		1.94	1.42	1
Lu		1.72	1.25	1
Hf		1.59	1.03	1
Ta		1.47	1.4	1
W		1.41	1.48	1
Re		1.37	1.16	1
Os		1.35	1.16	1
Ir		1.36	1.72	1
Pt		1.39	1.4     1
Au		1.44	1.85	1
Hg		1.55	1.46	1
Tl		1.71	1.68	1
Pb		1.75	1.28	1
Bi		1.82	1.36	1
Po		1.77	1.75	1
At		0.62	1.36	1
Rn		0.80	1.44	1
Fr		1.00	1.64	1
Ra		2.35	1.7	1
Ac		2.03	1.34	1
Th		1.80	1.37	1
Pa		1.63	1.31	1
U		1.56	1.63	1
Np		1.56	1.7	1
Pu		1.64	1.18	1
Am		1.73	1.54	1
XX	0.80	0	3
